date;value;year;month;day;hour;minute;second;week;startDate;endDate;weekOrder
2019-01-01 00:00:00;1065.0;2019;1;1;0;0;0;0;-;-;0
2019-01-01 00:15:00;1064.0;2019;1;1;0;15;0;0;-;-;0
2019-01-01 00:30:00;1062.0;2019;1;1;0;30;0;0;-;-;0
2019-01-01 00:45:00;1061.0;2019;1;1;0;45;0;0;-;-;0
2019-01-01 01:00:00;1062.0;2019;1;1;1;0;0;0;-;-;0
2019-01-01 01:15:00;1062.0;2019;1;1;1;15;0;0;-;-;0
2019-01-01 01:30:00;1062.0;2019;1;1;1;30;0;0;-;-;0
2019-01-01 01:45:00;1062.0;2019;1;1;1;45;0;0;-;-;0
2019-01-01 02:00:00;1062.0;2019;1;1;2;0;0;0;-;-;0
2019-01-01 02:15:00;1062.0;2019;1;1;2;15;0;0;-;-;0
2019-01-01 02:30:00;1062.0;2019;1;1;2;30;0;0;-;-;0
2019-01-01 02:45:00;1062.0;2019;1;1;2;45;0;0;-;-;0
2019-01-01 03:00:00;1062.0;2019;1;1;3;0;0;0;-;-;0
2019-01-01 03:15:00;1062.0;2019;1;1;3;15;0;0;-;-;0
2019-01-01 03:30:00;1063.0;2019;1;1;3;30;0;0;-;-;0
2019-01-01 03:45:00;1064.0;2019;1;1;3;45;0;0;-;-;0
2019-01-01 04:00:00;1064.0;2019;1;1;4;0;0;0;-;-;0
2019-01-01 04:15:00;1064.0;2019;1;1;4;15;0;0;-;-;0
2019-01-01 04:30:00;1064.0;2019;1;1;4;30;0;0;-;-;0
2019-01-01 04:45:00;1064.0;2019;1;1;4;45;0;0;-;-;0
2019-01-01 05:00:00;1063.0;2019;1;1;5;0;0;0;-;-;0
2019-01-01 05:15:00;1063.0;2019;1;1;5;15;0;0;-;-;0
2019-01-01 05:30:00;1063.0;2019;1;1;5;30;0;0;-;-;0
2019-01-01 05:45:00;1063.0;2019;1;1;5;45;0;0;-;-;0
2019-01-01 06:00:00;1063.0;2019;1;1;6;0;0;0;-;-;0
2019-01-01 06:15:00;1061.0;2019;1;1;6;15;0;0;-;-;0
2019-01-01 06:30:00;1062.0;2019;1;1;6;30;0;0;-;-;0
2019-01-01 06:45:00;1062.0;2019;1;1;6;45;0;0;-;-;0
2019-01-01 07:00:00;1062.0;2019;1;1;7;0;0;0;-;-;0
2019-01-01 07:15:00;1063.0;2019;1;1;7;15;0;0;-;-;0
2019-01-01 07:30:00;1064.0;2019;1;1;7;30;0;0;-;-;0
2019-01-01 07:45:00;1064.0;2019;1;1;7;45;0;0;-;-;0
2019-01-01 08:00:00;1065.0;2019;1;1;8;0;0;0;-;-;0
2019-01-01 08:15:00;1066.0;2019;1;1;8;15;0;0;-;-;0
2019-01-01 08:30:00;1066.0;2019;1;1;8;30;0;0;-;-;0
2019-01-01 08:45:00;1066.0;2019;1;1;8;45;0;0;-;-;0
2019-01-01 09:00:00;1067.0;2019;1;1;9;0;0;0;-;-;0
2019-01-01 09:15:00;1067.0;2019;1;1;9;15;0;0;-;-;0
2019-01-01 09:30:00;1068.0;2019;1;1;9;30;0;0;-;-;0
2019-01-01 09:45:00;1068.0;2019;1;1;9;45;0;0;-;-;0
2019-01-01 10:00:00;1068.0;2019;1;1;10;0;0;0;-;-;0
2019-01-01 10:15:00;1068.0;2019;1;1;10;15;0;0;-;-;0
2019-01-01 10:30:00;1068.0;2019;1;1;10;30;0;0;-;-;0
2019-01-01 10:45:00;1069.0;2019;1;1;10;45;0;0;-;-;0
2019-01-01 11:00:00;1069.0;2019;1;1;11;0;0;0;-;-;0
2019-01-01 11:15:00;1069.0;2019;1;1;11;15;0;0;-;-;0
2019-01-01 11:30:00;1069.0;2019;1;1;11;30;0;0;-;-;0
2019-01-01 11:45:00;1069.0;2019;1;1;11;45;0;0;-;-;0
2019-01-01 12:00:00;1069.0;2019;1;1;12;0;0;0;-;-;0
2019-01-01 12:15:00;1068.0;2019;1;1;12;15;0;0;-;-;0
2019-01-01 12:30:00;1068.0;2019;1;1;12;30;0;0;-;-;0
2019-01-01 12:45:00;1069.0;2019;1;1;12;45;0;0;-;-;0
2019-01-01 13:00:00;1068.0;2019;1;1;13;0;0;0;-;-;0
2019-01-01 13:15:00;1068.0;2019;1;1;13;15;0;0;-;-;0
2019-01-01 13:30:00;1069.0;2019;1;1;13;30;0;0;-;-;0
2019-01-01 13:45:00;1069.0;2019;1;1;13;45;0;0;-;-;0
2019-01-01 14:00:00;1070.0;2019;1;1;14;0;0;0;-;-;0
2019-01-01 14:15:00;1070.0;2019;1;1;14;15;0;0;-;-;0
2019-01-01 14:30:00;1072.0;2019;1;1;14;30;0;0;-;-;0
2019-01-01 14:45:00;1073.0;2019;1;1;14;45;0;0;-;-;0
2019-01-01 15:00:00;1072.0;2019;1;1;15;0;0;0;-;-;0
2019-01-01 15:15:00;1072.0;2019;1;1;15;15;0;0;-;-;0
2019-01-01 15:30:00;1071.0;2019;1;1;15;30;0;0;-;-;0
2019-01-01 15:45:00;1072.0;2019;1;1;15;45;0;0;-;-;0
2019-01-01 16:00:00;1073.0;2019;1;1;16;0;0;0;-;-;0
2019-01-01 16:15:00;1076.0;2019;1;1;16;15;0;0;-;-;0
2019-01-01 16:30:00;1076.0;2019;1;1;16;30;0;0;-;-;0
2019-01-01 16:45:00;1076.0;2019;1;1;16;45;0;0;-;-;0
2019-01-01 17:00:00;1076.0;2019;1;1;17;0;0;0;-;-;0
2019-01-01 17:15:00;1076.0;2019;1;1;17;15;0;0;-;-;0
2019-01-01 17:30:00;1076.0;2019;1;1;17;30;0;0;-;-;0
2019-01-01 17:45:00;1076.0;2019;1;1;17;45;0;0;-;-;0
2019-01-01 18:00:00;1076.0;2019;1;1;18;0;0;0;-;-;0
2019-01-01 18:15:00;1076.0;2019;1;1;18;15;0;0;-;-;0
2019-01-01 18:30:00;1076.0;2019;1;1;18;30;0;0;-;-;0
2019-01-01 18:45:00;1076.0;2019;1;1;18;45;0;0;-;-;0
2019-01-01 19:00:00;1076.0;2019;1;1;19;0;0;0;-;-;0
2019-01-01 19:15:00;1076.0;2019;1;1;19;15;0;0;-;-;0
2019-01-01 19:30:00;1076.0;2019;1;1;19;30;0;0;-;-;0
2019-01-01 19:45:00;1076.0;2019;1;1;19;45;0;0;-;-;0
2019-01-01 20:00:00;1076.0;2019;1;1;20;0;0;0;-;-;0
2019-01-01 20:15:00;1076.0;2019;1;1;20;15;0;0;-;-;0
2019-01-01 20:30:00;1076.0;2019;1;1;20;30;0;0;-;-;0
2019-01-01 20:45:00;1076.0;2019;1;1;20;45;0;0;-;-;0
2019-01-01 21:00:00;1077.0;2019;1;1;21;0;0;0;-;-;0
2019-01-01 21:15:00;1078.0;2019;1;1;21;15;0;0;-;-;0
2019-01-01 21:30:00;1080.0;2019;1;1;21;30;0;0;-;-;0
2019-01-01 21:45:00;1078.0;2019;1;1;21;45;0;0;-;-;0
2019-01-01 22:00:00;1079.0;2019;1;1;22;0;0;0;-;-;0
2019-01-01 22:15:00;1079.0;2019;1;1;22;15;0;0;-;-;0
2019-01-01 22:30:00;1081.0;2019;1;1;22;30;0;0;-;-;0
2019-01-01 22:45:00;1080.0;2019;1;1;22;45;0;0;-;-;0
2019-01-01 23:00:00;1080.0;2019;1;1;23;0;0;0;-;-;0
2019-01-01 23:15:00;1077.0;2019;1;1;23;15;0;0;-;-;0
2019-01-01 23:30:00;1077.0;2019;1;1;23;30;0;0;-;-;0
2019-01-01 23:45:00;1077.0;2019;1;1;23;45;0;0;-;-;0
2019-01-02 00:00:00;1077.0;2019;1;2;0;0;0;0;-;-;0
2019-01-02 00:15:00;1077.0;2019;1;2;0;15;0;0;-;-;0
2019-01-02 00:30:00;1077.0;2019;1;2;0;30;0;0;-;-;0
2019-01-02 00:45:00;1078.0;2019;1;2;0;45;0;0;-;-;0
2019-01-02 01:00:00;1078.0;2019;1;2;1;0;0;0;-;-;0
2019-01-02 01:15:00;1079.0;2019;1;2;1;15;0;0;-;-;0
2019-01-02 01:30:00;1079.0;2019;1;2;1;30;0;0;-;-;0
2019-01-02 01:45:00;1079.0;2019;1;2;1;45;0;0;-;-;0
2019-01-02 02:00:00;1079.0;2019;1;2;2;0;0;0;-;-;0
2019-01-02 02:15:00;1078.0;2019;1;2;2;15;0;0;-;-;0
2019-01-02 02:30:00;1076.0;2019;1;2;2;30;0;0;-;-;0
2019-01-02 02:45:00;1075.0;2019;1;2;2;45;0;0;-;-;0
2019-01-02 03:00:00;1075.0;2019;1;2;3;0;0;0;-;-;0
2019-01-02 03:15:00;1076.0;2019;1;2;3;15;0;0;-;-;0
2019-01-02 03:30:00;1076.0;2019;1;2;3;30;0;0;-;-;0
2019-01-02 03:45:00;1076.0;2019;1;2;3;45;0;0;-;-;0
2019-01-02 04:00:00;1076.0;2019;1;2;4;0;0;0;-;-;0
2019-01-02 04:15:00;1077.0;2019;1;2;4;15;0;0;-;-;0
2019-01-02 04:30:00;1076.0;2019;1;2;4;30;0;0;-;-;0
2019-01-02 04:45:00;1075.0;2019;1;2;4;45;0;0;-;-;0
2019-01-02 05:00:00;1074.0;2019;1;2;5;0;0;0;-;-;0
2019-01-02 05:15:00;1073.0;2019;1;2;5;15;0;0;-;-;0
2019-01-02 05:30:00;1073.0;2019;1;2;5;30;0;0;-;-;0
2019-01-02 05:45:00;1073.0;2019;1;2;5;45;0;0;-;-;0
2019-01-02 06:00:00;1074.0;2019;1;2;6;0;0;0;-;-;0
2019-01-02 06:15:00;1075.0;2019;1;2;6;15;0;0;-;-;0
2019-01-02 06:30:00;1075.0;2019;1;2;6;30;0;0;-;-;0
2019-01-02 06:45:00;1075.0;2019;1;2;6;45;0;0;-;-;0
2019-01-02 07:00:00;1075.0;2019;1;2;7;0;0;0;-;-;0
2019-01-02 07:15:00;1076.0;2019;1;2;7;15;0;0;-;-;0
2019-01-02 07:30:00;1076.0;2019;1;2;7;30;0;0;-;-;0
